,Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
466,5,5,48,1,1998,06,26,1
467,1,5,5,1,1998,07,08,1
468,1,5,45,1,1998,07,10,1
469,1,5,6,1,1998,07,14,1
470,1,5,51,1,1998,07,23,1
471,1,5,40,1,1998,08,05,1
472,1,5,37,1,1998,08,14,1
473,2,5,51,1,1998,08,20,1
474,5,5,48,1,1998,08,26,1
475,2,5,51,1,1998,08,31,1
476,1,5,48,1,1998,09,09,1
477,5,5,48,1,1998,09,23,1
478,1,2,51,1,1998,09,23,1
479,1,5,45,1,1998,09,25,1
480,5,5,48,1,1998,10,01,1
481,5,5,32,1,1998,10,05,1
482,1,5,48,1,1998,10,07,1
483,1,5,53,1,1998,10,13,1
484,2,5,51,1,1998,10,14,1
485,2,5,51,1,1998,10,21,1
486,2,5,24,1,1998,11,16,1
487,1,5,48,1,1998,11,17,1
488,2,5,51,1,1998,11,17,1
489,1,5,37,1,1998,11,20,1
490,2,5,51,1,1998,12,03,1
491,2,5,45,1,1998,12,04,1
492,2,5,45,1,1998,12,04,1
493,1,5,48,1,1998,12,07,1
494,1,5,48,1,1998,12,08,1
495,4,5,40,1,1998,12,10,1
496,2,5,45,1,1998,12,11,1
497,2,5,48,1,1998,12,15,1
498,1,5,40,1,1998,12,17,1
499,2,5,45,1,1998,12,18,1
500,1,5,48,1,1999,01,05,1
501,3,5,40,1,1999,01,07,1
502,2,5,45,1,1999,01,08,1
503,2,5,22,1,1999,01,08,1
504,2,5,29,1,1999,01,13,1
505,1,5,4,1,1999,01,13,1
506,1,5,48,1,1999,01,13,1
507,2,5,51,1,1999,01,20,1
508,1,5,45,1,1999,01,22,1
509,5,5,48,1,1999,01,26,1
510,3,5,4,1,1999,02,03,1
511,1,5,40,1,1999,02,04,1
512,1,5,51,1,1999,02,04,1
513,4,5,6,1,1999,02,09,1
514,5,5,48,1,1999,02,10,1
515,1,5,48,1,1999,02,11,1
516,5,5,48,1,1999,02,16,1
517,1,5,5,1,1999,02,16,1
518,1,5,39,1,1999,02,19,1
519,1,5,29,1,1999,02,24,1
520,2,5,48,1,1999,02,24,1
521,1,5,4,1,1999,02,24,1
522,1,3,4,1,1999,03,03,1
523,1,5,51,1,1999,03,09,1
524,1,5,29,1,1999,03,10,1
525,1,5,17,1,1999,03,17,1
526,1,5,51,1,1999,03,25,1
527,2,5,48,1,1999,03,26,1
528,1,5,37,1,1999,03,26,1
529,1,5,48,1,1999,03,30,1
530,4,5,32,1,1999,04,05,1
531,1,5,5,1,1999,04,12,1
532,2,5,51,1,1999,04,13,1
533,2,5,29,1,1999,04,14,1
534,1,5,51,1,1999,04,20,1
535,1,5,10,1,1999,04,23,1
536,2,5,29,1,1999,04,28,1
537,1,5,48,1,1999,04,28,1
538,1,5,51,1,1999,04,28,1
539,1,5,51,1,1999,04,29,1
540,2,5,6,1,1999,05,04,1
541,5,5,48,1,1999,05,04,1
542,1,5,4,1,1999,05,05,1
543,2,5,48,1,1999,05,05,1
544,1,5,21,1,1999,05,25,1
545,2,5,29,1,1999,05,26,1
546,1,5,48,1,1999,06,01,1
547,1,5,40,1,1999,06,03,1
548,2,5,29,1,1999,06,16,1
549,1,5,4,1,1999,06,16,1
550,1,5,48,1,1999,06,17,1
551,2,2,1,1,1999,06,18,1
552,1,5,29,1,1999,06,30,1
553,1,5,48,1,1999,07,01,1
554,1,5,42,1,1999,07,06,1
555,2,5,48,1,1999,07,07,1
556,1,5,40,1,1999,07,08,1
557,1,2,12,1,1999,07,08,1
558,1,5,51,1,1999,07,21,1
559,1,5,48,1,1999,08,04,1
560,2,5,48,1,1999,08,05,1
561,2,2,1,1,1999,08,06,1
562,2,5,48,1,1999,08,10,1
563,1,5,48,1,1999,08,11,1
564,2,5,51,1,1999,08,17,1
565,5,5,48,1,1999,08,18,1
566,1,5,29,1,1999,09,01,1
567,2,5,48,1,1999,09,01,1
568,1,5,5,1,1999,09,08,1
569,1,5,5,1,1999,09,08,1
570,2,5,48,1,1999,09,10,1
571,2,5,48,1,1999,09,14,1
572,1,5,51,1,1999,09,16,1
573,1,5,48,1,1999,09,21,1
574,2,5,10,1,1999,09,24,1
575,2,5,37,1,1999,09,24,1
576,1,5,48,1,1999,10,12,1
577,1,5,48,1,1999,10,14,1
578,1,5,49,1,1999,10,15,1
579,2,5,51,1,1999,10,19,1
580,1,5,37,1,1999,10,21,1
581,5,5,4,1,1999,10,27,1
582,3,5,48,1,1999,10,28,1
583,2,5,51,1,1999,11,09,1
584,2,5,45,1,1999,11,12,1
585,2,5,48,1,1999,11,16,1
586,1,5,48,1,1999,11,17,1
587,5,5,48,1,1999,11,18,1
588,2,5,37,1,1999,11,19,1
589,2,5,40,1,1999,12,02,1
590,1,5,45,1,1999,12,03,1
591,1,5,48,1,1999,12,08,1
592,2,5,40,1,1999,12,09,1
593,1,5,18,1,1999,12,09,1
594,1,5,48,1,1999,12,09,1
595,2,5,51,1,1999,12,09,1
596,1,5,48,1,1999,12,14,1
597,2,5,48,1,1999,12,15,1
598,2,5,40,1,2000,01,06,1
599,1,2,1,1,2000,01,07,1
600,1,5,51,1,2000,01,10,1
601,1,5,48,1,2000,01,12,1
602,1,5,40,1,2000,01,13,1
603,1,5,51,1,2000,01,13,1
604,1,5,48,1,2000,01,18,1
605,2,5,48,1,2000,01,20,1
606,1,5,48,1,2000,01,21,1
607,1,5,48,1,2000,01,24,1
608,2,5,48,1,2000,01,25,1
609,1,5,48,1,2000,01,27,1
610,2,5,40,1,2000,02,10,1
611,1,5,4,1,2000,02,16,1
612,1,5,12,1,2000,02,23,1
613,2,5,48,1,2000,02,23,1
614,1,5,12,1,2000,02,24,1
615,1,5,48,2,2000,02,24,1
616,2,5,48,1,2000,03,01,1
617,2,2,1,1,2000,03,03,1
618,2,5,48,1,2000,03,14,1
619,3,5,6,1,2000,03,15,1
620,1,5,4,1,2000,03,15,1
621,1,5,48,1,2000,03,15,1
622,2,5,51,1,2000,03,16,1
623,1,5,29,1,2000,03,22,1
624,2,5,40,1,2000,03,23,1
625,2,2,1,1,2000,04,14,1
626,1,5,47,1,2000,04,19,1
627,2,5,40,1,2000,04,27,1
628,1,5,5,2,2000,05,02,1
629,2,5,48,1,2000,05,04,1
630,1,5,48,1,2000,05,09,1
631,1,5,48,1,2000,05,11,1
632,2,5,48,1,2000,05,23,1
633,1,5,48,1,2000,05,24,1
634,2,5,40,1,2000,05,25,1
635,2,5,48,1,2000,05,25,1
637,3,5,40,1,2000,06,01,1
638,2,2,1,1,2000,06,02,1
639,2,5,22,1,2000,06,06,1
640,2,5,12,1,2000,06,07,1
641,1,5,40,1,2000,06,08,1
642,1,5,48,1,2000,06,12,1
643,2,5,48,1,2000,06,14,1
644,2,5,40,1,2000,06,15,1
645,5,5,48,1,2000,06,15,1
646,1,5,12,1,2000,06,21,1
647,2,5,48,1,2000,06,22,1
648,1,5,29,1,2000,06,28,1
649,5,5,48,1,2000,06,29,1
650,1,2,51,1,2000,07,06,1
651,1,5,48,1,2000,07,12,1
652,1,5,40,1,2000,07,20,1
653,5,5,48,1,2000,07,26,1
654,2,5,48,1,2000,08,09,1
655,5,5,48,1,2000,08,09,1
656,1,5,40,1,2000,08,10,1
657,2,5,48,1,2000,08,16,1
658,1,5,48,1,2000,08,22,1
659,1,5,48,1,2000,08,23,1
660,1,5,12,1,2000,08,25,1
661,1,5,29,1,2000,08,30,1
662,2,5,48,1,2000,08,30,1
663,1,5,51,1,2000,08,30,1
664,2,5,29,1,2000,09,13,1
665,1,5,51,1,2000,09,14,1
666,1,5,48,1,2000,09,27,1
667,2,5,51,1,2000,10,10,1
668,1,5,48,1,2000,11,01,1
669,2,5,45,1,2000,11,03,1
670,1,5,4,1,2000,11,08,1
671,2,5,37,1,2000,11,09,1
672,5,5,48,1,2000,11,09,1
673,2,5,48,1,2000,11,14,1
674,1,5,29,1,2000,11,15,1
675,2,5,48,1,2000,11,15,1
676,2,5,10,1,2000,11,17,1
677,1,5,48,1,2000,12,05,1
678,1,5,48,1,2000,12,06,1
679,2,5,51,1,2000,12,06,1
680,5,5,12,1,2000,12,07,1
681,1,5,48,1,2000,12,07,1
682,2,5,5,1,2000,12,19,1
683,1,5,48,1,2001,01,09,1
684,2,5,40,1,2001,01,09,1
685,1,5,12,1,2001,01,11,1
686,2,5,40,2,2001,01,11,1
687,1,5,40,1,2001,01,16,1
688,1,5,48,1,2001,01,18,1
689,3,5,40,1,2001,01,18,1
690,1,5,40,1,2001,01,23,1
691,1,5,40,1,2001,01,25,1
692,2,5,48,1,2001,01,29,1
693,1,5,40,1,2001,01,30,1
694,1,5,40,1,2001,02,01,1
695,1,5,29,1,2001,02,07,1
696,5,5,48,1,2001,02,08,1
697,1,5,51,1,2001,03,01,1
698,1,5,40,1,2001,03,01,1
699,1,5,48,1,2001,03,07,1
700,2,5,37,1,2001,03,09,1
701,1,5,18,1,2001,03,14,1
702,1,5,6,1,2001,03,27,1
703,1,5,40,1,2001,03,27,1
704,1,5,29,1,2001,03,28,1
705,1,5,48,1,2001,04,03,1
706,1,5,32,1,2001,04,21,1
707,2,5,29,1,2001,04,25,1
708,2,5,48,1,2001,04,25,1
709,1,5,10,1,2001,04,26,1
710,1,5,40,2,2001,05,01,1
711,1,5,5,1,2001,05,08,1
712,3,5,40,1,2001,05,22,1
713,2,5,29,1,2001,05,23,1
714,2,5,10,1,2001,05,25,1
715,2,5,40,1,2001,05,29,1
716,1,5,Federal,1,2001,06,11,1
717,1,5,48,1,2001,06,13,1
718,2,5,39,1,2001,06,14,1
719,5,5,Federal,1,2001,06,19,1
720,2,5,48,1,2001,06,26,1
721,1,5,18,1,2001,06,27,1
722,2,5,29,1,2001,07,11,1
723,1,5,48,1,2001,07,11,1
724,3,5,40,1,2001,07,17,1
725,1,5,48,1,2001,08,08,1
726,1,5,48,1,2001,08,16,1
727,1,5,37,1,2001,08,24,1
728,1,5,53,1,2001,08,28,1
729,1,5,40,1,2001,08,28,1
730,1,5,37,1,2001,08,31,1
731,1,5,48,1,2001,09,18,1
733,2,5,37,1,2001,10,12,1
