,Year,Race,Sex,Execution Method
997,2005,1,1,5
998,2005,2,1,5
999,2005,1,1,5
1000,2005,1,1,5
1001,2005,2,1,5
1002,2005,2,1,5
1003,2005,1,1,5
1004,2006,3,1,5
1005,2006,2,1,5
1006,2006,2,1,5
1007,2006,1,1,5
1008,2006,5,1,5
1009,2006,1,1,5
1010,2006,1,1,5
1011,2006,2,1,5
1012,2006,2,1,5
1013,2006,1,1,5
1014,2006,5,1,5
1015,2006,2,1,5
1016,2006,1,1,5
1017,2006,2,1,5
1018,2006,2,1,5
1019,2006,2,1,5
1020,2006,2,1,5
1021,2006,5,1,5
1022,2006,2,1,5
1023,2006,5,1,5
1024,2006,1,1,5
1025,2006,1,1,5
1026,2006,2,1,5
1027,2006,5,1,5
1028,2006,1,1,5
1029,2006,2,1,5
1030,2006,1,1,5
1031,2006,1,1,5
1032,2006,2,1,5
1033,2006,1,1,5
1034,2006,1,1,2
1035,2006,1,1,5
1036,2006,2,1,5
1037,2006,1,1,5
1038,2006,1,1,5
1039,2006,5,1,5
1040,2006,1,1,5
1041,2006,2,1,5
1042,2006,2,1,5
1043,2006,1,1,5
1044,2006,2,1,5
1045,2006,2,1,5
1046,2006,2,1,5
1047,2006,1,1,5
1048,2006,1,1,5
1049,2006,1,1,5
1050,2006,1,1,5
1051,2006,1,1,5
1052,2006,1,1,5
1053,2006,2,1,5
1054,2006,2,1,5
1055,2006,1,1,5
1056,2006,5,1,5
1057,2007,2,1,5
1058,2007,5,1,5
1059,2007,1,1,5
1060,2007,1,1,5
1061,2007,2,1,5
1062,2007,1,1,5
1063,2007,1,1,5
1064,2007,5,1,5
1065,2007,2,1,5
1066,2007,2,1,5
1067,2007,5,1,5
1068,2007,1,1,5
1069,2007,1,1,5
1070,2007,1,1,5
1071,2007,1,1,5
1072,2007,2,1,5
1073,2007,1,1,5
1074,2007,1,1,5
1075,2007,1,1,5
1076,2007,1,1,5
1077,2007,1,1,5
1078,2007,1,1,5
1079,2007,1,1,5
1080,2007,5,1,5
1081,2007,5,1,5
1082,2007,2,1,5
1083,2007,1,1,5
1084,2007,1,1,5
1085,2007,2,1,5
1086,2007,1,1,5
1087,2007,2,1,5
1088,2007,2,1,5
1089,2007,2,1,5
1090,2007,1,1,5
1091,2007,2,1,5
1092,2007,2,1,5
1093,2007,2,1,5
1094,2007,5,1,5
1095,2007,1,1,5
1096,2007,1,1,2
1097,2007,1,1,5
1098,2007,2,1,5
1099,2008,1,1,5
1100,2008,1,1,5
1101,2008,2,1,5
1102,2008,2,1,5
1103,2008,1,1,5
1104,2008,1,1,5
1105,2008,1,1,5
1106,2008,2,1,2
1107,2008,2,1,5
1108,2008,1,1,5
1109,2008,2,1,5
1110,2008,2,1,5
1111,2008,1,1,5
1112,2008,2,1,5
1113,2008,1,1,5
1114,2008,2,1,5
1115,2008,5,1,5
1116,2008,5,1,5
1117,2008,2,1,5
1118,2008,5,1,5
1119,2008,1,1,5
1120,2008,1,1,5
1121,2008,2,1,5
1122,2008,1,1,5
1123,2008,1,1,5
1124,2008,1,1,5
1125,2008,2,1,5
1126,2008,1,1,5
1127,2008,1,1,5
1128,2008,1,1,5
1129,2008,2,1,5
1130,2008,2,1,5
1131,2008,2,1,5
1132,2008,2,1,5
1133,2008,2,1,5
1134,2008,1,1,5
1135,2008,2,1,5
1136,2009,2,1,5
1137,2009,1,1,5
1138,2009,2,1,5
1139,2009,2,1,5
1140,2009,2,1,5
1141,2009,5,1,5
1142,2009,5,1,5
1143,2009,1,1,5
1144,2009,5,1,5
1145,2009,2,1,5
1146,2009,1,1,5
1147,2009,1,1,5
1148,2009,2,1,5
1149,2009,2,1,5
1150,2009,1,1,5
1151,2009,2,1,5
1152,2009,2,1,5
1153,2009,5,1,5
1154,2009,1,1,5
1155,2009,5,1,5
1156,2009,5,1,5
1157,2009,2,1,5
1158,2009,1,1,5
1159,2009,2,1,5
1160,2009,2,1,5
1161,2009,2,1,5
1162,2009,1,1,5
1163,2009,2,1,5
1164,2009,1,1,5
1165,2009,1,1,5
1166,2009,1,1,5
1167,2009,1,1,5
1168,2009,1,1,5
1169,2009,1,1,5
1170,2009,2,1,5
1171,2009,1,1,5
